replicate_id,T,tau_true,T1,T2,graph_seed,weight_seed,noise_seed_1,noise_seed_2,ours_tau_hat,ours_abs_error,ours_norm_error,mean_tau_hat,mean_abs_error,mean_norm_error,covariance_tau_hat,covariance_abs_error,covariance_norm_error,mean_covariance_tau_hat,mean_covariance_abs_error,mean_covariance_norm_error,midpoint_tau_hat,midpoint_abs_error,midpoint_norm_error,random_tau_hat,random_abs_error,random_norm_error
80,12000,4241,4241,7759,3354124856,4050653446,1478791721,4200651875,4270,29,0.002416666666666667,2970,1271,0.10591666666666667,4020,221,0.018416666666666668,2870,1371,0.11425,6020,1779,0.14825,4870,629,0.05241666666666667
81,12000,8333,8333,3667,2303971178,3849207298,3487406532,913984733,8370,37,0.0030833333333333333,3420,4913,0.40941666666666665,1220,7113,0.59275,3420,4913,0.40941666666666665,6020,2313,0.19275,5570,2763,0.23025
82,12000,6378,6378,5622,3900627514,2277984982,979511503,1790393595,5320,1058,0.08816666666666667,7470,1092,0.091,9370,2992,0.24933333333333332,9220,2842,0.23683333333333334,6020,358,0.029833333333333333,3420,2958,0.2465
83,12000,6344,6344,5656,3702302219,3001162530,1668324752,810803821,6370,26,0.0021666666666666666,10120,3776,0.31466666666666665,7220,876,0.073,7220,876,0.073,6020,324,0.027,5420,924,0.077
84,12000,2199,2199,9801,1186513063,1094557582,2125251415,3420875454,2170,29,0.002416666666666667,6820,4621,0.38508333333333333,1620,579,0.04825,1920,279,0.02325,6020,3821,0.3184166666666667,10920,8721,0.72675
85,12000,9777,9777,2223,4098352996,3640393212,2928881558,4017094086,9770,7,0.0005833333333333334,9020,757,0.06308333333333334,1070,8707,0.7255833333333334,1070,8707,0.7255833333333334,6020,3757,0.3130833333333333,4170,5607,0.46725
86,12000,7946,7946,4054,1224258944,2591585033,2507545105,1659622904,7970,24,0.002,10270,2324,0.19366666666666665,9670,1724,0.14366666666666666,9720,1774,0.14783333333333334,6020,1926,0.1605,8470,524,0.043666666666666666
87,12000,3771,3771,8229,3100446930,2727333703,2936638902,2550171806,3770,1,8.333333333333333e-05,2920,851,0.07091666666666667,3570,201,0.01675,1870,1901,0.15841666666666668,6020,2249,0.18741666666666668,8470,4699,0.39158333333333334
88,12000,2705,2705,9295,1918608512,318296921,1621864650,3279649671,2770,65,0.005416666666666667,10120,7415,0.6179166666666667,9020,6315,0.52625,10370,7665,0.63875,6020,3315,0.27625,2270,435,0.03625
89,12000,1222,1222,10778,2459108897,3420635903,1266970457,1301093485,1170,52,0.004333333333333333,7120,5898,0.4915,5570,4348,0.36233333333333334,5570,4348,0.36233333333333334,6020,4798,0.3998333333333333,3320,2098,0.17483333333333334
90,12000,2852,2852,9148,2795425328,1843817344,3030242696,961496376,2770,82,0.006833333333333334,6270,3418,0.2848333333333333,7220,4368,0.364,7370,4518,0.3765,6020,3168,0.264,1120,1732,0.14433333333333334
91,12000,1188,1188,10812,405898348,1604373534,1808875637,506674928,1070,118,0.009833333333333333,7670,6482,0.5401666666666667,2320,1132,0.09433333333333334,3970,2782,0.23183333333333334,6020,4832,0.4026666666666667,10020,8832,0.736
92,12000,9544,9544,2456,3912537672,883779374,197332826,2435643906,9570,26,0.0021666666666666666,7270,2274,0.1895,3970,5574,0.4645,8670,874,0.07283333333333333,6020,3524,0.2936666666666667,5170,4374,0.3645
93,12000,10637,10637,1363,3950241220,957117153,3135779780,1908310655,10620,17,0.0014166666666666668,8320,2317,0.19308333333333333,10870,233,0.019416666666666665,10870,233,0.019416666666666665,6020,4617,0.38475,7420,3217,0.26808333333333334
94,12000,8312,8312,3688,3687565951,4251449629,3114135752,3972394886,8320,8,0.0006666666666666666,8070,242,0.020166666666666666,2220,6092,0.5076666666666667,2270,6042,0.5035,6020,2292,0.191,3320,4992,0.416
95,12000,6812,6812,5188,4211189317,3870377282,2569024497,2345170066,6820,8,0.0006666666666666666,6670,142,0.011833333333333333,7720,908,0.07566666666666666,7720,908,0.07566666666666666,6020,792,0.066,6420,392,0.03266666666666666
96,12000,2609,2609,9391,2955337666,2911961002,1260445233,1281391776,1070,1539,0.12825,3220,611,0.050916666666666666,7270,4661,0.3884166666666667,10370,7761,0.64675,6020,3411,0.28425,3870,1261,0.10508333333333333
97,12000,8797,8797,3203,3825279122,2416951098,775371206,1012720818,8770,27,0.00225,6120,2677,0.22308333333333333,7020,1777,0.14808333333333334,6020,2777,0.23141666666666666,6020,2777,0.23141666666666666,6370,2427,0.20225
98,12000,4629,4629,7371,1953949548,2095166949,1127800846,1075671548,4570,59,0.004916666666666666,4970,341,0.028416666666666666,10070,5441,0.4534166666666667,10070,5441,0.4534166666666667,6020,1391,0.11591666666666667,9820,5191,0.4325833333333333
99,12000,5114,5114,6886,1620100145,1483891317,3022121576,66537066,5070,44,0.0036666666666666666,4220,894,0.0745,10920,5806,0.48383333333333334,4270,844,0.07033333333333333,6020,906,0.0755,8620,3506,0.2921666666666667
