method,mean_abs_error,median_abs_error,std_abs_error,min_abs_error,max_abs_error,mean_norm_error,median_norm_error,success_at_50,success_at_100,success_at_250,success_at_500,success_at_1000
ours,355.81,41.5,960.0264800114799,0.0,6536.0,0.029650833333333328,0.0034583333333333332,0.57,0.8,0.85,0.87,0.88
mean,3320.07,2931.0,2473.837505809853,7.0,9198.0,0.27667250000000004,0.24425,0.01,0.03,0.06,0.1,0.2
covariance,3340.39,2975.0,2428.564596192324,100.0,9662.0,0.2783658333333333,0.24791666666666667,0.0,0.01,0.07,0.08,0.2
mean_covariance,3281.73,2893.0,2379.6991357876914,27.0,9662.0,0.27347750000000004,0.24108333333333332,0.01,0.02,0.08,0.12,0.21
midpoint,2371.09,2213.5,1470.4720955316948,59.0,4832.0,0.19759083333333335,0.18445833333333334,0.0,0.01,0.06,0.11,0.25
random,3504.33,3092.0,2327.5205390494343,42.0,8832.0,0.29202749999999994,0.2576666666666667,0.01,0.01,0.02,0.09,0.17
